name,No.of reviews
b'Pittock Mansion' - b'Portland' - Good,5
b'Sapporo Ramen' - b'Cambridge' - Bad,7
"b""Papi's Cuban & Caribbean Grill"" - b'Atlanta' - Good",7
"b""Schmidt's Sausage Haus"" - b'Columbus' - Good",12
b'Bambolina Restaurant' - b'Salem' - Good,5
b'Halal Bros' - b'Austin' - Good,5
b'Barley Swine' - b'Austin' - Good,11
b'CBC Restaurant' - b'Columbus' - Good,6
b'Rangzen Tibetan Place' - b'Cambridge' - Good,6
"b'Sheraton Vistana Resort Villas, Lake Buena Vista/Orlando' - b'Orlando' - Good",6
b'Rice Bowl Cafe' - b'Austin' - Good,9
b'Seven Lamps' - b'Atlanta' - Good,5
b'Border Grill Fresh-Mex' - b'Orlando' - Good,8
b'Pattycake Bakery' - b'Columbus' - Good,5
b'Westgate Lakes Resort and Spa' - b'Orlando' - Good,7
b'El Potro Mexican Grill' - b'Malden' - Good,5
b'Sofrito Latin Cafe' - b'Orlando' - Good,8
b'Pizza Nostra' - b'Portland' - Good,6
b'Finz Seafood & Grill' - b'Salem' - Good,7
b'IPIC Austin' - b'Austin' - Bad,9
b'Pizza Hut' - b'Orlando' - Good,6
"b""Gourdough's Public House"" - b'Austin' - Bad",6
b'Hopdoddy Burger Bar' - b'Austin' - Bad,36
"b""Luke's Kitchen and Bar"" - b'Orlando' - Good",5
b'Sweet' - b'Cambridge' - Good,8
"b""Matt the Miller's Tavern"" - b'Columbus' - Good",5
b'Kobe Japanese Steakhouse - Lake Buena Vista' - b'Orlando' - Bad,5
b'Hyde Park Bar & Grill Central' - b'Austin' - Good,12
"b""FD's Grillhouse"" - b'Pflugerville' - Good",7
b'Posto' - b'Somerville' - Good,6
"b""Hollerbach's Willow Tree Cafe"" - b'Sanford' - Good",14
"b""Hounddog's Three Degree Pizza"" - b'Columbus' - Good",6
b'Southland Whiskey Kitchen' - b'Portland' - Good,6
b'Daito' - b'Austin' - Good,5
"b""Jack's Pizza & Wings"" - b'Atlanta' - Good",7
b'Bosphorous Turkish Cuisine' - b'Winter Park' - Bad,9
b'Brasserie Ten Ten' - b'Boulder' - Good,13
b'STEEL Restaurant & Lounge' - b'Atlanta' - Good,5
b'Tin Shed Garden Cafe' - b'Portland' - Good,10
b'Buenos Aires Caf\xc3\x83\xc2\xa9 - Este' - b'Austin' - Good,8
b'Buffalo Wild Wings' - b'Tualatin' - Good,5
b'El Patron Mexican Restaurant & Cantina' - b'Orlando' - Good,6
b'The Matador' - b'Portland' - Good,7
b'Punjab Palace' - b'Allston' - Good,8
b'FLIP burger boutique' - b'Atlanta' - Good,17
